Claim_ID,Customer_Name,Product_Category,Brand,Model_Number,Serial_Number,Purchase_Price,Purchase_Date,Claim_Date,Product_Age_Months,Warranty_Duration_Months,Remaining_Warranty_Months,Fault_Type,Has_Receipt,Has_Warranty_Card,Has_Damage_Photo,Serial_Number_Match,Previous_Unauthorized_Repairs,Duplicate_Claim_Flag,Date_Contradiction_Flag,Missing_Documents_Count,Claim_Class
CLM-1117,Lisa Thompson,Refrigerator,Bosch,BOS-960,BO-468488,1278,2024-08-16,2024-07-24,-0.8,24,24.0,Overheating,True,True,True,True,False,False,True,0,Manual Review
CLM-1369,Frank Johnson,Washing Machine,Samsung,SAM-683,SA-581705,585,2024-01-08,2023-12-28,-0.4,24,24.0,Water Leakage,True,True,True,True,False,False,True,0,Manual Review
CLM-0423,Keith Jacobs,Washing Machine,Samsung,SAM-679,SA-776234,844,2024-07-02,2025-07-06,12.3,24,11.7,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0414,Lance Short,Laptop,Dell,DEL-482,DE-630299,1047,2024-08-19,2025-05-09,8.8,12,3.2,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0452,Stephen Gardner,Laptop,Lenovo,LEN-908,LE-261630,1948,2025-02-02,2025-10-06,8.2,12,3.8,Water Leakage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0862,Megan Oliver,Refrigerator,LG,LG-248,LG-345011,1590,2024-10-30,2025-06-16,7.6,24,16.4,Overheating,False,False,True,False,False,False,False,2,Invalid Claim
CLM-1064,Paul Berger,Refrigerator,LG,LG-675,LG-747561,733,2023-11-30,2024-08-18,8.7,24,15.3,Screen Damage,True,True,True,False,False,False,False,0,Manual Review
CLM-0742,Robert Herrera,Laptop,Dell,DEL-913,DE-763653,1083,2025-09-09,2026-03-24,6.5,12,5.5,Power Failure,False,True,True,True,False,False,False,1,Invalid Claim
CLM-1273,Eric Blackburn,Refrigerator,Bosch,BOS-504,BO-644998,758,2025-04-17,2025-04-09,-0.3,24,24.0,Motor Failure,True,True,True,True,False,False,True,0,Manual Review
CLM-0260,Theodore Murphy,Smartphone,Apple,APP-838,AP-289630,632,2025-04-15,2025-08-07,3.8,12,8.2,Water Leakage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0889,Kathy Reid,Washing Machine,LG,LG-598,LG-929478,502,2024-07-07,2025-02-14,7.4,24,16.6,Motor Failure,True,True,True,True,True,False,False,0,Invalid Claim
CLM-1433,Kristin Garcia,Refrigerator,Samsung,SAM-871,SA-196931,610,2023-10-06,2025-01-16,15.6,24,8.4,Power Failure,True,True,True,True,False,True,False,0,Manual Review
CLM-0713,Denise Pena,Laptop,HP,HP-668,HP-819335,1779,2025-08-04,2026-10-19,14.7,12,0.0,Water Leakage,True,False,True,True,False,False,False,1,Invalid Claim
CLM-1383,Kyle Sanchez,Laptop,Apple,APP-456,AP-799686,907,2024-09-02,2025-03-05,6.1,12,5.9,Motor Failure,True,True,True,True,False,True,False,0,Manual Review
CLM-0071,Marc Hart,Washing Machine,LG,LG-846,LG-555673,1010,2023-11-20,2024-12-07,12.8,24,11.2,Power Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-1269,John Preston,Smartphone,Google,GOO-927,GO-785684,1081,2025-09-09,2026-09-02,11.9,12,0.1,Screen Damage,True,True,False,True,False,False,False,1,Manual Review
CLM-1492,Andrew Livingston,Laptop,HP,HP-982,HP-583072,1794,2024-05-10,2024-04-25,-0.5,12,12.0,Screen Damage,True,True,True,True,False,False,True,0,Manual Review
CLM-0608,Daniel Thomas,Washing Machine,Samsung,SAM-896,SA-922880,516,2024-05-26,2027-02-24,33.5,24,0.0,Power Failure,True,True,True,True,False,False,False,0,Invalid Claim
CLM-0434,Katie Martinez,Washing Machine,Samsung,SAM-257,SA-498458,557,2024-02-07,2025-12-17,22.6,24,1.4,Board Defect,True,True,True,True,False,False,False,0,Valid Claim
CLM-0052,James Morgan,Washing Machine,Samsung,SAM-175,SA-690341,1036,2025-02-07,2025-06-19,4.4,24,19.6,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-1200,Stephen Norman,Laptop,Apple,APP-477,AP-898868,1442,2025-02-06,2025-12-16,10.4,12,1.6,Motor Failure,True,True,True,False,False,False,False,0,Manual Review
CLM-1129,Jennifer Rodriguez,Smartphone,Google,GOO-213,GO-107482,728,2025-03-12,2025-07-20,4.3,12,7.7,Power Failure,True,True,False,True,False,False,False,1,Manual Review
CLM-1191,Alejandro Martinez,Washing Machine,Samsung,SAM-275,SA-486559,458,2025-06-15,2026-12-27,18.7,24,5.3,Power Failure,True,True,True,False,False,False,False,0,Manual Review
CLM-1250,Ashley Freeman,Washing Machine,Samsung,SAM-160,SA-953929,980,2025-03-22,2025-03-11,-0.4,24,24.0,Board Defect,True,True,True,True,False,False,True,0,Manual Review
CLM-1420,Carrie Brooks,Smartphone,Google,GOO-140,GO-229988,587,2024-03-10,2025-01-25,10.7,12,1.3,Power Failure,True,True,False,True,False,False,False,1,Manual Review
CLM-0433,Michael Graves,Smartphone,Apple,APP-830,AP-936821,904,2025-07-17,2025-12-20,5.2,12,6.8,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-1453,Christopher Olson,Smartphone,Apple,APP-425,AP-863481,1099,2025-01-19,2025-05-17,3.9,12,8.1,Overheating,True,True,False,True,False,False,False,1,Manual Review
CLM-1471,Jennifer Flores,Refrigerator,LG,LG-269,LG-711999,710,2024-08-25,2026-05-18,21.0,24,3.0,Screen Damage,True,True,True,True,False,True,False,0,Manual Review
CLM-1235,John Lee,Refrigerator,LG,LG-173,LG-493370,1080,2024-07-25,2026-03-22,20.2,24,3.8,Power Failure,True,True,False,True,False,False,False,1,Manual Review
