Claim_ID,Customer_Name,Product_Category,Brand,Model_Number,Serial_Number,Purchase_Price,Purchase_Date,Claim_Date,Product_Age_Months,Warranty_Duration_Months,Remaining_Warranty_Months,Fault_Type,Has_Receipt,Has_Warranty_Card,Has_Damage_Photo,Serial_Number_Match,Previous_Unauthorized_Repairs,Duplicate_Claim_Flag,Date_Contradiction_Flag,Missing_Documents_Count,Claim_Class
CLM-0555,Jeffrey Fernandez,Washing Machine,Whirlpool,WHI-371,WH-770147,1086,2025-04-22,2025-11-09,6.7,24,17.3,Screen Damage,True,False,True,True,True,False,False,1,Invalid Claim
CLM-1331,Cynthia Good,Smartphone,Apple,APP-467,AP-470920,586,2024-06-27,2025-03-06,8.4,12,3.6,Board Defect,True,True,True,False,False,False,False,0,Manual Review
CLM-0805,Daniel Huang,Washing Machine,Whirlpool,WHI-150,WH-106892,1014,2023-10-15,2026-08-10,34.3,24,0.0,Screen Damage,True,False,True,True,False,False,False,1,Invalid Claim
CLM-0241,Ashlee Jackson,Laptop,Dell,DEL-575,DE-910389,962,2025-01-29,2025-11-07,9.4,12,2.6,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-0834,David Jones,Refrigerator,LG,LG-599,LG-292259,1302,2023-10-03,2024-04-19,6.6,24,17.4,Motor Failure,True,False,True,False,True,False,False,1,Invalid Claim
CLM-0254,Valerie Lozano,Laptop,Lenovo,LEN-232,LE-787923,1235,2025-03-10,2025-10-26,7.7,12,4.3,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-1031,Sarah Turner,Washing Machine,Whirlpool,WHI-361,WH-499917,1016,2025-09-18,2026-01-20,4.1,24,19.9,Screen Damage,True,True,False,True,False,False,False,1,Manual Review
CLM-1419,David Hayes DVM,Refrigerator,Samsung,SAM-584,SA-287890,645,2023-12-01,2025-04-15,16.7,24,7.3,Power Failure,True,True,True,True,False,True,False,0,Manual Review
CLM-0375,Cynthia Allen,Refrigerator,Samsung,SAM-948,SA-217659,1655,2025-04-28,2025-07-30,3.1,24,20.9,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-0797,Terry Hill,Washing Machine,Whirlpool,WHI-284,WH-249149,929,2024-02-06,2024-10-24,8.7,24,15.3,Overheating,False,True,True,True,False,False,False,1,Invalid Claim
CLM-0036,Timothy Koch,Laptop,Apple,APP-196,AP-526833,2253,2024-10-08,2025-02-12,4.2,12,7.8,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0310,Brian Romero,Refrigerator,Samsung,SAM-286,SA-770872,1629,2025-01-03,2026-09-26,21.0,24,3.0,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-1131,Lisa Braun,Washing Machine,LG,LG-296,LG-697586,665,2024-08-18,2025-05-08,8.8,24,15.2,Board Defect,True,True,True,True,False,True,False,0,Manual Review
CLM-1083,Christy Johnson,Smartphone,Google,GOO-365,GO-867543,526,2024-08-04,2024-10-03,2.0,12,10.0,Board Defect,True,True,True,True,False,True,False,0,Manual Review
CLM-1485,Victoria Terrell,Washing Machine,LG,LG-381,LG-199740,881,2025-04-14,2026-07-13,15.2,24,8.8,Power Failure,True,True,True,True,False,True,False,0,Manual Review
CLM-0258,Brent Burton,Laptop,HP,HP-402,HP-262471,881,2025-07-07,2025-09-14,2.3,12,9.7,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0431,Victoria Contreras,Washing Machine,Whirlpool,WHI-602,WH-921609,679,2025-03-07,2026-07-11,16.4,24,7.6,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0775,Kathy Walsh,Laptop,Lenovo,LEN-582,LE-459946,628,2023-11-29,2024-02-23,2.9,12,9.1,Motor Failure,True,False,True,False,True,False,False,1,Invalid Claim
CLM-0943,Jeremy Martinez,Laptop,Dell,DEL-946,DE-889188,1826,2025-03-13,2027-01-10,22.3,12,0.0,Board Defect,True,False,True,False,False,False,False,1,Invalid Claim
CLM-1410,Stephanie Herrera,Refrigerator,Samsung,SAM-517,SA-807459,1939,2024-01-23,2024-05-31,4.3,24,19.7,Board Defect,True,True,True,True,False,True,False,0,Manual Review
CLM-1195,Jane Mitchell,Washing Machine,LG,LG-436,LG-167077,856,2024-09-06,2024-08-16,-0.7,24,24.0,Overheating,True,True,True,True,False,False,True,0,Manual Review
CLM-0548,Alexander Evans,Washing Machine,LG,LG-100,LG-343923,457,2025-07-04,2025-11-23,4.7,24,19.3,Power Failure,True,True,True,False,True,False,False,0,Invalid Claim
CLM-1458,Samantha Thompson,Refrigerator,Samsung,SAM-298,SA-784219,990,2024-06-03,2025-02-15,8.6,24,15.4,Overheating,True,True,True,True,False,True,False,0,Manual Review
CLM-0315,Sandra Adams,Laptop,HP,HP-962,HP-790731,950,2025-01-10,2025-07-31,6.7,12,5.3,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-0303,Brandon Simmons,Refrigerator,Bosch,BOS-663,BO-844007,1211,2024-07-30,2024-11-03,3.2,24,20.8,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-0180,Melissa Martinez,Washing Machine,Whirlpool,WHI-192,WH-867934,773,2023-11-06,2024-04-18,5.5,24,18.5,Power Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0686,Nathan Payne,Smartphone,Apple,APP-105,AP-397026,471,2025-05-04,2025-12-29,8.0,12,4.0,Board Defect,True,False,True,True,True,False,False,1,Invalid Claim
CLM-1177,Brian Ward,Refrigerator,Samsung,SAM-863,SA-445234,1882,2024-03-06,2024-12-17,9.5,24,14.5,Board Defect,True,True,True,True,False,True,False,0,Manual Review
CLM-0853,Jasmine Watson,Washing Machine,LG,LG-451,LG-761297,883,2023-12-04,2024-02-11,2.3,24,21.7,Overheating,True,False,True,True,True,False,False,1,Invalid Claim
CLM-1259,Cody Smith,Refrigerator,Bosch,BOS-627,BO-486326,1009,2024-10-21,2026-02-25,16.4,24,7.6,Water Leakage,True,True,False,True,False,False,False,1,Manual Review
CLM-0569,Sandra Williams,Washing Machine,Whirlpool,WHI-277,WH-641922,984,2023-12-05,2024-03-19,3.5,24,20.5,Screen Damage,True,True,True,False,True,False,False,0,Invalid Claim
CLM-0551,Pamela Johnson,Refrigerator,LG,LG-278,LG-243079,1160,2025-09-22,2028-05-22,32.4,24,0.0,Board Defect,True,False,True,False,False,False,False,1,Invalid Claim
CLM-1348,Lisa Adams,Washing Machine,Whirlpool,WHI-469,WH-907889,965,2023-10-15,2024-03-26,5.4,24,18.6,Board Defect,True,True,True,True,False,True,False,0,Manual Review
CLM-0010,Valerie Gray,Laptop,Dell,DEL-891,DE-793384,693,2024-09-15,2025-02-08,4.9,12,7.1,Power Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0396,Cynthia Butler,Refrigerator,LG,LG-584,LG-891062,876,2023-09-26,2025-04-28,19.3,24,4.7,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0323,Lawrence Perry,Laptop,Apple,APP-353,AP-380464,850,2025-02-20,2025-11-07,8.7,12,3.3,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0813,Michael Meza,Laptop,Lenovo,LEN-855,LE-101657,996,2024-12-27,2026-02-02,13.4,12,0.0,Screen Damage,True,False,True,True,False,False,False,1,Invalid Claim
CLM-0586,Charles Payne,Smartphone,Samsung,SAM-107,SA-589368,746,2025-06-03,2026-03-26,9.9,12,2.1,Overheating,False,False,True,True,False,False,False,2,Invalid Claim
CLM-0013,Victoria Wyatt,Washing Machine,Whirlpool,WHI-846,WH-279451,1050,2024-03-20,2025-10-17,19.2,24,4.8,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0539,Nichole Lane,Smartphone,Apple,APP-491,AP-701761,644,2024-04-09,2024-11-27,7.7,12,4.3,Board Defect,False,False,True,True,False,False,False,2,Invalid Claim
CLM-1413,Alicia Ray,Laptop,HP,HP-628,HP-814562,2253,2024-05-27,2024-05-06,-0.7,12,12.0,Board Defect,True,True,True,True,False,False,True,0,Manual Review
CLM-0204,Debra Williams,Washing Machine,Whirlpool,WHI-569,WH-646781,1074,2025-05-11,2026-04-14,11.3,24,12.7,Board Defect,True,True,True,True,False,False,False,0,Valid Claim
CLM-0825,Tanya Buchanan,Smartphone,Samsung,SAM-441,SA-221462,1369,2024-12-04,2026-06-06,18.3,12,0.0,Water Leakage,True,True,True,True,False,False,False,0,Invalid Claim
CLM-1467,Lisa Dixon,Laptop,HP,HP-435,HP-482615,2375,2023-12-03,2023-11-28,-0.2,12,12.0,Screen Damage,True,True,True,True,False,False,True,0,Manual Review
CLM-0308,Shane Pugh,Smartphone,Google,GOO-943,GO-906527,1141,2023-12-28,2024-08-23,8.0,12,4.0,Overheating,True,True,True,True,False,False,False,0,Valid Claim
CLM-1388,Candace Mitchell DDS,Smartphone,Google,GOO-528,GO-244935,982,2024-08-13,2025-01-15,5.2,12,6.8,Overheating,True,True,False,True,False,False,False,1,Manual Review
CLM-1226,Cole Jones,Laptop,Lenovo,LEN-780,LE-354016,1301,2025-06-14,2025-10-27,4.5,12,7.5,Screen Damage,True,True,True,False,False,False,False,0,Manual Review
CLM-1233,Rick Rivera,Smartphone,Apple,APP-974,AP-120773,1287,2024-07-09,2025-02-19,7.5,12,4.5,Motor Failure,True,True,False,True,False,False,False,1,Manual Review
CLM-0197,Charles Brown,Washing Machine,Samsung,SAM-310,SA-232040,649,2025-08-30,2027-04-30,20.3,24,3.7,Motor Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0553,Austin Wheeler,Washing Machine,Whirlpool,WHI-928,WH-510623,986,2023-10-07,2023-11-22,1.5,24,22.5,Overheating,True,True,True,False,True,False,False,0,Invalid Claim
CLM-0262,Susan Rivas,Refrigerator,Bosch,BOS-344,BO-345369,1419,2024-07-05,2026-02-01,19.2,24,4.8,Power Failure,True,True,True,True,False,False,False,0,Valid Claim
CLM-0402,Evelyn Williams,Laptop,Apple,APP-115,AP-449138,1027,2024-12-19,2025-06-22,6.2,12,5.8,Screen Damage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0625,James Carter,Washing Machine,LG,LG-216,LG-448098,865,2025-05-26,2026-02-22,9.1,24,14.9,Motor Failure,True,False,True,False,True,False,False,1,Invalid Claim
CLM-1274,Neil Schmidt,Smartphone,Samsung,SAM-796,SA-955793,596,2024-11-01,2024-10-12,-0.7,12,12.0,Water Leakage,True,True,True,True,False,False,True,0,Manual Review
CLM-1090,Mary Faulkner,Smartphone,Google,GOO-943,GO-561457,1167,2024-12-07,2025-09-13,9.3,12,2.7,Screen Damage,True,True,False,True,False,False,False,1,Manual Review
CLM-0244,Rebecca Jackson,Washing Machine,Samsung,SAM-572,SA-177794,919,2024-08-10,2025-07-23,11.6,24,12.4,Water Leakage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0441,Laurie Saunders,Refrigerator,LG,LG-271,LG-253023,1509,2025-05-23,2025-08-25,3.1,24,20.9,Water Leakage,True,True,True,True,False,False,False,0,Valid Claim
CLM-0831,Blake Reed,Washing Machine,LG,LG-419,LG-510954,836,2024-01-12,2026-12-02,35.2,24,0.0,Power Failure,True,False,True,False,False,False,False,1,Invalid Claim
CLM-1237,Janice Proctor,Refrigerator,LG,LG-493,LG-536019,1328,2025-05-13,2026-07-21,14.5,24,9.5,Water Leakage,True,True,True,True,False,True,False,0,Manual Review
CLM-1415,Andre Terrell,Washing Machine,Whirlpool,WHI-725,WH-816044,1192,2024-01-18,2024-01-07,-0.4,24,24.0,Overheating,True,True,True,True,False,False,True,0,Manual Review
CLM-1024,Holly Chapman,Laptop,Dell,DEL-284,DE-198123,1315,2025-03-25,2025-08-06,4.5,12,7.5,Screen Damage,True,True,True,True,False,True,False,0,Manual Review
